,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_AdjClose,BTC_Volume,ST_Open,ST_High,ST_Low,ST_Close,ST_AdjClose,ST_Volume,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),EU/US_Open,EU/US_High,EU/US_Low,EU/US_Close,EU/US_AdjClose,EU/US_Volume
12,2014-09-29,297.37908935546875,303.2679748535156,293.33331298828125,295.89959716796875,295.89959716796875,25610923,1978.9599609375,1981.280029296875,1964.0400390625,1977.800048828125,1977.800048828125,3094440000.0,1217.75,1219.5,750.539,750.646,960.674,959.783,1.2676360607147217,1.2714558839797974,1.2665106058120728,1.2673146724700928,1.2673146724700928,0.0
13,2014-09-30,296.3890075683594,309.5621337890625,294.32769775390625,306.41748046875,306.41748046875,27484400,1978.2099609375,1985.1700439453125,1968.9599609375,1972.2900390625,1972.2900390625,3951100000.0,1210.0,1216.5,746.545,750.139,959.937,964.405,1.2690999507904053,1.2701992988586426,1.2573903799057007,1.269083857536316,1.269083857536316,0.0
14,2014-10-01,306.7999572753906,310.22430419921875,301.8948669433594,303.94976806640625,303.94976806640625,20782347,1971.43994140625,1971.43994140625,1941.719970703125,1946.1600341796875,1946.1600341796875,4188590000.0,1208.5,1216.5,746.172,749.353,958.747,963.259,1.2629133462905884,1.2639987468719482,1.2585740089416504,1.262833595275879,1.262833595275879,0.0
15,2014-10-02,304.24530029296875,304.6925354003906,294.3768310546875,296.054931640625,296.054931640625,17189755,1945.8299560546875,1952.3199462890625,1926.030029296875,1946.1700439453125,1946.1700439453125,4012510000.0,1214.5,1211.75,750.943,751.939,960.991,959.574,1.2624987363815308,1.2690500020980835,1.2616099119186401,1.2624191045761108,1.2624191045761108,0.0
16,2014-10-03,296.1409606933594,299.35406494140625,285.9440612792969,287.2648620605469,287.2648620605469,24691330,1948.1199951171875,1971.18994140625,1948.1199951171875,1967.9000244140625,1967.9000244140625,3560970000.0,1207.5,1195.0,751.026,748.278,956.057,955.159,1.266993522644043,1.266993522644043,1.2501593828201294,1.2670577764511108,1.2670577764511108,0.0
17,2014-10-04,287.5685119628906,291.2401123046875,260.39630126953125,262.7774658203125,262.7774658203125,37743907,,,,,,,,,,,,,,,,,,
18,2014-10-05,262.8174133300781,273.1130676269531,231.15940856933594,256.1620788574219,256.1620788574219,66582558,,,,,,,,,,,,,,,,,,
19,2014-10-06,256.06536865234375,274.5696105957031,241.699951171875,261.0765075683594,261.0765075683594,62494503,1970.010009765625,1977.8399658203125,1958.4300537109375,1964.8199462890625,1964.8199462890625,3358220000.0,1193.25,1195.75,746.668,747.11,951.555,951.879,1.2515017986297607,1.2593204975128174,1.2515017986297607,1.2513607740402222,1.2513607740402222,0.0
20,2014-10-07,261.4759216308594,268.81695556640625,254.4315643310547,265.50860595703125,265.50860595703125,38856342,1962.3599853515625,1962.3599853515625,1934.8699951171875,1935.0999755859375,1935.0999755859375,3687870000.0,1207.5,1210.5,751.494,751.397,957.27,957.901,1.2643983364105225,1.266430377960205,1.258469581604004,1.264606237411499,1.264606237411499,0.0
21,2014-10-08,265.4525451660156,278.1070556640625,258.97418212890625,277.032958984375,277.032958984375,42964129,1935.550048828125,1970.3599853515625,1925.25,1968.8900146484375,1968.8900146484375,4441890000.0,1220.0,1217.0,758.376,756.37,963.513,959.401,1.266800880432129,1.2690999507904053,1.2624493837356567,1.266800880432129,1.266800880432129,0.0
22,2014-10-09,276.88226318359375,301.691650390625,272.7812805175781,287.716552734375,287.716552734375,65926621,1967.6800537109375,1967.6800537109375,1927.56005859375,1928.2099609375,1928.2099609375,4344020000.0,1227.5,1226.75,757.669,758.142,961.991,964.957,1.2738852500915527,1.2793008089065552,1.2677806615829468,1.2743074893951416,1.2743074893951416,0.0
23,2014-10-10,287.4493713378906,295.2818298339844,279.7519226074219,286.3630676269531,286.3630676269531,34583954,1925.6300048828125,1936.97998046875,1906.050048828125,1906.1300048828125,1906.1300048828125,4550540000.0,1222.25,1219.0,761.005,760.402,964.376,964.78,1.2689067125320435,1.2716013193130493,1.2610498666763306,1.2689067125320435,1.2689067125320435,0.0
24,2014-10-11,286.20465087890625,290.8213195800781,281.9190368652344,286.94677734375,286.94677734375,10569618,,,,,,,,,,,,,,,,,,
25,2014-10-12,287.1899108886719,300.04193115234375,282.0719299316406,299.5086669921875,299.5086669921875,13887808,,,,,,,,,,,,,,,,,,
26,2014-10-13,299.01177978515625,311.9167785644531,290.8823547363281,306.92926025390625,306.92926025390625,27689780,1905.6500244140625,1912.0899658203125,1874.1400146484375,1874.739990234375,1874.739990234375,4352580000.0,1228.0,1229.0,763.824,763.971,969.142,968.861,1.2640947103500366,1.269999384880066,1.2635036706924438,1.263982892036438,1.263982892036438,0.0
27,2014-10-14,307.9339599609375,323.814697265625,307.71722412109375,317.118896484375,317.118896484375,30449727,1877.1099853515625,1898.7099609375,1871.7900390625,1877.699951171875,1877.699951171875,4812010000.0,1233.0,1234.75,772.411,775.402,974.549,974.854,1.272248387336731,1.2732040882110596,1.264080286026001,1.272394061088562,1.272394061088562,0.0
28,2014-10-15,317.1861267089844,318.09173583984375,304.1511535644531,307.9352722167969,307.9352722167969,19709126,1874.1800537109375,1874.1800537109375,1820.6600341796875,1862.489990234375,1862.489990234375,6090800000.0,1223.5,1237.5,768.627,774.599,967.576,969.752,1.2644143104553223,1.2840431928634644,1.2626103162765503,1.2639029026031494,1.2639029026031494,0.0
29,2014-10-16,307.7363586425781,310.76678466796875,291.3471374511719,298.8018493652344,298.8018493652344,21080997,1855.949951171875,1876.010009765625,1835.02001953125,1862.760009765625,1862.760009765625,5073150000.0,1241.0,1237.75,775.867,773.545,969.38,971.851,1.2820513248443604,1.284438967704773,1.2710679769515991,1.2821663618087769,1.2821663618087769,0.0
30,2014-10-17,298.95806884765625,302.1697998046875,292.81512451171875,300.8215026855469,300.8215026855469,10661362,1864.9100341796875,1898.1600341796875,1864.9100341796875,1886.760009765625,1886.760009765625,4482120000.0,1238.0,1234.25,769.613,768.237,966.885,967.053,1.2807542085647583,1.283489465713501,1.2746502161026,1.280442476272583,1.280442476272583,0.0
31,2014-10-18,300.9924011230469,309.7577819824219,297.0690612792969,306.8448486328125,306.8448486328125,8949440,,,,,,,,,,,,,,,,,,
32,2014-10-19,306.697509765625,308.8022155761719,302.9372253417969,305.6221618652344,305.6221618652344,4640334,,,,,,,,,,,,,,,,,,
33,2014-10-20,305.375,305.9002685546875,296.2964172363281,299.21453857421875,299.21453857421875,12832356,1885.6199951171875,1905.030029296875,1882.300048828125,1904.010009765625,1904.010009765625,3331210000.0,1241.0,1244.5,769.708,771.161,972.647,974.321,1.2748922109603882,1.2788541316986084,1.2732398509979248,1.274957299232483,1.274957299232483,0.0
34,2014-10-21,298.8831481933594,308.417236328125,297.712646484375,304.0237731933594,304.0237731933594,11161816,1909.3800048828125,1942.449951171875,1909.3800048828125,1941.280029296875,1941.280029296875,3987090000.0,1251.75,1250.25,774.167,774.34,978.847,982.283,1.2795250415802002,1.2839277982711792,1.271709680557251,1.2795250415802002,1.2795250415802002,0.0
35,2014-10-22,303.742919921875,305.4842529296875,301.244384765625,303.1073303222656,303.1073303222656,9209161,1941.2900390625,1949.31005859375,1926.8299560546875,1927.1099853515625,1927.1099853515625,3761930000.0,1246.75,1243.75,777.663,775.405,982.08,982.037,1.2714234590530396,1.2739096879959106,1.2651101350784302,1.2714719772338867,1.2714719772338867,0.0
36,2014-10-23,302.9523010253906,304.65069580078125,281.9100036621094,283.3559875488281,283.3559875488281,20916199,1931.02001953125,1961.949951171875,1931.02001953125,1950.8199462890625,1950.8199462890625,3789250000.0,1240.5,1232.75,775.313,769.891,979.935,975.2,1.2645422220230103,1.2675796747207642,1.261702299118042,1.2641425132751465,1.2641425132751465,0.0
37,2014-10-24,283.4935607910156,287.2703552246094,279.2041931152344,282.82952880859375,282.82952880859375,12301263,1951.5899658203125,1965.27001953125,1946.27001953125,1964.5799560546875,1964.5799560546875,3078380000.0,1231.75,1232.75,767.972,765.826,973.715,971.128,1.2650701999664307,1.2695107460021973,1.2635835409164429,1.2654062509536743,1.2654062509536743,0.0
38,2014-10-25,283.0394592285156,284.0260314941406,270.62115478515625,274.08917236328125,274.08917236328125,14307419,,,,,,,,,,,,,,,,,,
39,2014-10-26,274.2596740722656,283.52093505859375,271.4530334472656,279.8453674316406,279.8453674316406,8893491,,,,,,,,,,,,,,,,,,
40,2014-10-27,279.9029541015625,282.0764465332031,275.61376953125,277.90032958984375,277.90032958984375,10260589,1962.969970703125,1964.6400146484375,1951.3699951171875,1961.6300048828125,1961.6300048828125,3538860000.0,1230.5,1228.75,764.286,761.543,970.579,966.835,1.2676842212677002,1.2721998691558838,1.2667094469070435,1.2676681280136108,1.2676681280136108,0.0
41,2014-10-28,278.0782470703125,283.2735290527344,277.5251770019531,280.77099609375,280.77099609375,6159912,1964.1400146484375,1985.050048828125,1964.1400146484375,1985.050048828125,1985.050048828125,3653260000.0,1228.25,1229.25,762.225,760.58,967.583,964.572,1.2702445983886719,1.2762998342514038,1.2686975002288818,1.270147681236267,1.270147681236267,0.0
42,2014-10-29,280.35565185546875,280.9839172363281,265.365966796875,265.6883850097656,265.6883850097656,14403214,1983.2900390625,1991.4000244140625,1969.0400390625,1982.300048828125,1982.300048828125,3740350000.0,1228.0,1223.5,761.645,757.632,963.666,959.006,1.2738043069839478,1.2769794464111328,1.2725075483322144,1.273836612701416,1.273836612701416,0.0
43,2014-10-30,265.7818298339844,278.21533203125,265.69818115234375,273.877685546875,273.877685546875,23935517,1979.489990234375,1999.4000244140625,1974.75,1994.6500244140625,1994.6500244140625,3586150000.0,1205.75,1202.0,753.594,750.406,958.085,952.456,1.2632323503494263,1.2634079456329346,1.2558696269989014,1.2632802724838257,1.2632802724838257,0.0
44,2014-10-31,273.6429138183594,276.11663818359375,268.9176025390625,270.1381530761719,270.1381530761719,10017087,2001.199951171875,2018.18994140625,2001.199951171875,2018.050048828125,2018.050048828125,4292290000.0,1173.25,1164.25,733.465,729.206,933.447,931.325,1.2610021829605103,1.2610021829605103,1.249125599861145,1.2613362073898315,1.2613362073898315,0.0
45,2014-11-01,270.40081787109375,271.9011535644531,256.351806640625,260.09979248046875,260.09979248046875,13316193,,,,,,,,,,,,,,,,,,
46,2014-11-02,260.360107421875,262.73553466796875,256.00927734375,260.6927490234375,260.6927490234375,6882345,,,,,,,,,,,,,,,,,,
47,2014-11-03,260.4343566894531,267.6083679199219,260.19744873046875,262.23199462890625,262.23199462890625,10366264,2018.2099609375,2024.4599609375,2013.6800537109375,2017.81005859375,2017.81005859375,3555440000.0,1170.75,1167.75,731.902,730.986,936.9,935.397,1.2503281831741333,1.2511416673660278,1.2442917823791504,1.2503125667572021,1.2503125667572021,0.0
48,2014-11-04,261.9173889160156,265.0743103027344,259.7499084472656,263.31927490234375,263.31927490234375,12473508,2015.81005859375,2015.97998046875,2001.010009765625,2012.0999755859375,2012.0999755859375,3956260000.0,1169.25,1166.5,730.553,728.744,933.906,931.635,1.2492660284042358,1.2568103075027466,1.2492660284042358,1.2495938539505005,1.2495938539505005,0.0
49,2014-11-05,263.471435546875,275.09130859375,263.4504699707031,272.0894470214844,272.0894470214844,15882985,2015.2900390625,2023.77001953125,2014.4200439453125,2023.5699462890625,2023.5699462890625,3766590000.0,1145.25,1142.0,720.963,715.539,917.301,914.991,1.2553982734680176,1.2567076683044434,1.245969295501709,1.2552564144134521,1.2552564144134521,0.0
50,2014-11-06,272.0670166015625,285.2019958496094,270.50115966796875,282.1861572265625,282.1861572265625,15185814,2023.3299560546875,2031.6099853515625,2015.8599853515625,2031.2099609375,2031.2099609375,3669770000.0,1144.5,1145.0,717.105,719.221,914.941,920.714,1.2477695941925049,1.2533605098724365,1.2402100563049316,1.2480031251907349,1.2480031251907349,0.0
51,2014-11-07,282.6127014160156,284.96685791015625,274.89422607421875,274.98797607421875,274.98797607421875,13519274,2032.3599853515625,2034.260009765625,2025.0699462890625,2031.9200439453125,2031.9200439453125,3704280000.0,1145.0,1154.5,723.173,728.759,923.387,928.801,1.238175392150879,1.2442995309829712,1.236390471458435,1.238006830215454,1.238006830215454,0.0
52,2014-11-08,274.7783508300781,278.69580078125,274.7783508300781,277.4558410644531,277.4558410644531,6854698,,,,,,,,,,,,,,,,,,
